species_guid,record_guid,scientific_name,species_type,medium_guid,medium_scientific_name,description,medium_type,reference_id,reference_name,page,author,created_time,editor,update_time,temp_guid,temp_scientific_name,named_year
cb45ef0a-3797-43aa-95ea-d9760dfb12c1,8c35564b-17f8-42b4-9616-cabc9c112924,Capsicum chlorosis virus,有害生物,1517234a-5ea9-46a6-b037-12149406cad1,Ceratothripoides claratris,"番茄角蓟马主是辣椒褪绿病毒
（Capsicum chlorosis virus，CaCV）的媒介昆虫。",媒介,169259,EPPO检疫性有害生物名录（2019版）的变化,22,王乃扬,2023-05-31 14:20:40,王乃扬,2023-05-31 14:20:40,,,(shumsher)
6407ccf4-4c8c-47ed-8df5-de4f8cdde3aa,2b0f7fb0-4111-484c-8f9e-70aeaa9da634,Nepovirus lycopersici,有害生物,80dba218-a893-4cc6-9c16-60d038bd5cf3,Xiphinema americanum sensu stricto,Known vector,媒介,9262312,Nepovirus lycopersici(TORSV0),,王秀芬,2024-05-15 13:57:50,王秀芬,2024-05-15 13:57:50,,,Cobb
6407ccf4-4c8c-47ed-8df5-de4f8cdde3aa,f1e8963f-2bcf-4686-80e3-724ce0231a1c,Nepovirus lycopersici,有害生物,80dba218-a893-4cc6-9c16-60d038bd5cf3,Xiphinema americanum sensu lato,Known vector,媒介,9262312,Nepovirus lycopersici(TORSV0),,王秀芬,2024-05-15 13:48:48,王秀芬,2024-05-15 13:48:48,,,Cobb
6407ccf4-4c8c-47ed-8df5-de4f8cdde3aa,006f329b-73ea-43d2-9ce6-1914ec23f69b,Nepovirus lycopersici,有害生物,39663a00-936e-4ed0-9551-8c36875bea56,Xiphinema rivesi,Known vector,媒介,9262312,Nepovirus lycopersici(TORSV0),,王秀芬,2024-05-15 13:42:45,王秀芬,2024-05-15 13:42:45,,,"Dalmasso, 1969"
6407ccf4-4c8c-47ed-8df5-de4f8cdde3aa,2c0cf12f-a4c6-471d-b14c-e9fbca94baa7,Nepovirus lycopersici,有害生物,bc041fb3-e12c-4179-9f3b-19e59d54c59f,Xiphinema californicum,Known vector,媒介,9262312,Nepovirus lycopersici(TORSV0),,王秀芬,2024-05-15 13:42:14,王秀芬,2024-05-15 13:42:14,,,"Lamberti et Blove-Zacheo, 1979"
6407ccf4-4c8c-47ed-8df5-de4f8cdde3aa,a8501087-0e70-42b9-9497-d78f3316f901,Nepovirus lycopersici,有害生物,4aed1565-ba74-4262-89a4-daf94e97e036,Xiphinema bricolense,Known vector,媒介,9262312,Nepovirus lycopersici(TORSV0),,王秀芬,2024-05-15 13:41:32,王秀芬,2024-05-15 13:42:51,,,"Ebsary, Vrain & Graham"
6407ccf4-4c8c-47ed-8df5-de4f8cdde3aa,98acf168-63ac-484f-aa42-37c1c56fe3a9,Nepovirus lycopersici,有害生物,39663a00-936e-4ed0-9551-8c36875bea56,Xiphinema rivesi,"In addition to X. americanum, X. rivesi is regarded as an important vector of the virus in eastern USA (Forer and Stouffer, 1982; Rosenberger et al., 1983; Mountain et al., 1983) and X. californicum in western USA (Hoy et al., 1984).",媒介,16272918,Tomato ringspot virus (ringspot of tomato),,王秀芬,2024-05-14 20:51:59,王秀芬,2024-05-15 09:02:08,,,"Dalmasso, 1969"
6407ccf4-4c8c-47ed-8df5-de4f8cdde3aa,d4949781-2352-4c9e-a4b7-bca2977216b5,Nepovirus lycopersici,有害生物,fc25e422-e665-4b35-b39b-fc4a8fea0014,Xiphinema americanum,"Most vector studies have been carried out with nematode populations identified as Xiphinema americanum. However, X. americanum sensu lato is now considered to be a complex of many species (Lamberti and Bleve-Zacheo, l979) and clarification of the vector potential of the component species is required.",媒介,16272918,Tomato ringspot virus (ringspot of tomato),,王秀芬,2024-05-14 20:51:36,王秀芬,2024-05-15 09:01:16,,,"(Cobb, 1913) Micoletzky, 1922"
5ca82a12-0dca-4f2a-8aab-50e1ab244ad1,527f1e13-ff90-494d-97e9-a679feefa4f4,Nepovirus arabis,有害生物,36cb233b-d17c-4b7b-8aa4-8c42b1f1e667,Xiphinema diversicaudatum,,媒介,11060238,Nepovirus arabis(ARMV00),,王秀芬,2024-05-06 12:46:49,王秀芬,2024-05-06 12:46:49,,,"(Micoletzky, 1927) Thorne, 1939"
5ca82a12-0dca-4f2a-8aab-50e1ab244ad1,be9c6cef-cb1c-4050-81ac-b8a471e2da33,Nepovirus arabis,有害生物,36cb233b-d17c-4b7b-8aa4-8c42b1f1e667,Xiphinema diversicaudatum,"Vector transmission。All tested isolates, including the serological variants from hop (Humulus lupulus) and barley, are transmitted by the free-living soil-inhabiting nematode, Xiphinema diversicaudatum (Harrison and Cadman, 1959; Jha and Posnette, 1959; Valdez et al., 1974; DJF Brown and AT Jones, unpublished data, Scottish Crop Research Institute, Invergowrie, UK).",媒介,20242562,Arabis mosaic virus (hop bare-bine),,王秀芬,2024-05-06 09:56:34,王秀芬,2024-05-06 09:56:34,,,"(Micoletzky, 1927) Thorne, 1939"
b4c8ae5f-9894-419a-87d2-ed38c43aca22,360a1dd3-c6f0-48b9-88e3-ec27e13b650c,Homalodisca vitripennis,有害生物,4D554AA5-D436-4D1F-9E42-8861ABBB743F,Xylella fastidiosa,在美国加州葡萄园，是葡萄皮尔氏病重要的传播媒介。,媒介,158157,First report of Xylella fastidiosa in the EPPO region,,cpqis.wangnaiyang,2014-03-19 13:02:12,,,B4C8AE5F-9894-419A-87D2-ED38C43ACA22,Homalodisca vitripennis,"Wells et al., 1987"
9a2ed58a-f91c-41cb-84bc-9c3426274501,a55645c4-dd55-49ad-866f-121603c0bbcc,Haplaxius crudus,有害生物,9a2ed58a-f91c-41cb-84bc-9c3426274501,Haplaxius crudus,"Haplaxius crudus is a competent vector of Candidatus Phytoplasma palmae, the causal agent of coconut lethal yellowing, a disease also regulated in Annex IIA of the same regulation.",媒介,16573633,CABI Digital Library（2024）,,王乃扬,2024-11-11 15:14:48,王乃扬,2024-11-11 15:14:48,,,"(Van Duzee, 1907)"
beede2cc-e388-4b4a-96d6-b1fdf6ceaaa6,f969e609-283b-43ea-bf76-ab5ead5c63bb,Arrhenodes minutus,有害生物,beede2cc-e388-4b4a-96d6-b1fdf6ceaaa6,Arrhenodes minutus,是栎枯萎病的传播媒介（The pest is also a vector of the quarantine pest Breziella (Ceratocystis) fagacearum）。,媒介,16573633,CABI Digital Library（2024）,,王乃扬,2024-10-10 18:54:43,王乃扬,2024-10-10 18:54:43,,,(Drury)
effcc2af-7148-4dde-939e-754d6daf7903,340291a0-eb94-42a1-b941-fbbb1b1fa94c,Sweet potato leaf curl virus,有害生物,7763CF11-9CE3-40D7-9F60-5386D6F544E2,Bemisia tabaci,,媒介,162373,Natural association of two different betasatellites with Sweet potato leaf curl virus in wild morning glory (Ipomoea purpurea) in India,,cpqis.gaoyuan,2016-12-03 10:07:54,,,EFFCC2AF-7148-4DDE-939E-754D6DAF7903,Sweet potato leaf curl virus,"(Gennadius, 1889)"
1318d5ff-4760-4ab0-a13c-9c9d9a090665,1b5373de-ecb1-4ac6-a62c-b27913cf261d,Squash leaf curl Philippines virus,有害生物,7763CF11-9CE3-40D7-9F60-5386D6F544E2,Bemisia tabaci,烟粉虱，棉粉虱,媒介,161508,Scientific Opinion on the risks to plant health posed by Bemisia tabaci species complex and viruses it transmits for the EU territory,,cpqis.huajing,2016-12-03 15:23:24,,,1318D5FF-4760-4AB0-A13C-9C9D9A090665,Squash leaf curl Philippines virus,"(Gennadius, 1889)"
f864d8f1-21e4-432a-b01e-d593f657791a,ea41e21b-74e1-44b7-87aa-8cb991b04f2a,Comovirus severum,有害生物,4a6f8acd-f35d-4061-9702-14df5f03d7d5,Diabrotica undecimpunctata howardi,Known vector,媒介,13351540,Comovirus severum(CPSMV0),,cpqis.wangxiufen,2024-12-23 13:36:48,cpqis.wangxiufen,2024-12-23 13:36:48,,,Barber
