id,species_guid,icode,author_display,title
,1cff49ae-dd55-4a02-8546-50fee3cced04,154220,"Pinke et al., 2012",
,1cff49ae-dd55-4a02-8546-50fee3cced04,161570,"CABI, 2016",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,1652,C.M.I,
,e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,159052,"严进等, 2013",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,1652,C.M.I,
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,159052,"严进等, 2013",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,159052,"严进等, 2013",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,159052,"严进等, 2013",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,159052,"严进等, 2013",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,159052,"严进等, 2013",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,1866,"朱培良等, 1987",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,159052,"严进等, 2013",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,7000,"CAB, 2006",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,159052,"严进等, 2013",
,e0acc296-70cd-4a76-8279-45fa5eef0e77,448,"CABI and EPPO, 1992",
,d7815b53-c892-4409-9465-29ae2f0e7703,7000,"CAB, 2006",
,d7815b53-c892-4409-9465-29ae2f0e7703,7000,"CAB, 2006",
,d7815b53-c892-4409-9465-29ae2f0e7703,7000,"CAB, 2006",
,d7815b53-c892-4409-9465-29ae2f0e7703,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,f5b56acb-e6c0-4911-9e90-8d8340dc4884,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,153616,"CABI, 2012",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,1667,"戴芳澜, 1979",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,3217,"中国农科院植保所, 1996",
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7000,"CAB, 2006",
