species_guid,taxonomy_guid,taxonomy_level,scientific_name,chinese_name,taxonomy_class,parent_scientific_name,id
08fcf693-55ee-46db-b0d9-c8efad71f29f,4847e1e8-7119-4730-8929-57a273849e6b,属,Betanucleorhabdovirus,乙型核型弹状病毒属,病毒,Betarhabdovirinae,
08fcf693-55ee-46db-b0d9-c8efad71f29f,08fcf693-55ee-46db-b0d9-c8efad71f29f,种,Betanucleorhabdovirus taraxi,,病毒,Betanucleorhabdovirus,
537813b9-eded-41d3-bec9-8afdd1096224,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
537813b9-eded-41d3-bec9-8afdd1096224,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
537813b9-eded-41d3-bec9-8afdd1096224,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
537813b9-eded-41d3-bec9-8afdd1096224,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
537813b9-eded-41d3-bec9-8afdd1096224,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
537813b9-eded-41d3-bec9-8afdd1096224,4a620c53-d4d4-41d6-8206-97977593baca,目,Mononegavirales,单分子负链RNA病毒目,病毒,Monjiviricetes,
537813b9-eded-41d3-bec9-8afdd1096224,f006ad23-4ea7-4f74-8779-31db1cb3ef8f,科,Rhabdoviridae,弹状病毒科,病毒,Mononegavirales,
537813b9-eded-41d3-bec9-8afdd1096224,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
537813b9-eded-41d3-bec9-8afdd1096224,01109c2a-5a7d-48d7-993c-84ed46c9c6a0,属,Gammanucleorhabdovirus,丙型核型弹状病毒属,病毒,Betarhabdovirinae,
537813b9-eded-41d3-bec9-8afdd1096224,537813b9-eded-41d3-bec9-8afdd1096224,种,Gammanucleorhabdovirus maydis,玉米细线病毒,病毒,Gammanucleorhabdovirus,
53317adf-4d45-4366-9d3c-791706e42a83,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
53317adf-4d45-4366-9d3c-791706e42a83,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
53317adf-4d45-4366-9d3c-791706e42a83,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
53317adf-4d45-4366-9d3c-791706e42a83,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
53317adf-4d45-4366-9d3c-791706e42a83,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
53317adf-4d45-4366-9d3c-791706e42a83,4a620c53-d4d4-41d6-8206-97977593baca,目,Mononegavirales,单分子负链RNA病毒目,病毒,Monjiviricetes,
53317adf-4d45-4366-9d3c-791706e42a83,f006ad23-4ea7-4f74-8779-31db1cb3ef8f,科,Rhabdoviridae,弹状病毒科,病毒,Mononegavirales,
53317adf-4d45-4366-9d3c-791706e42a83,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
53317adf-4d45-4366-9d3c-791706e42a83,e48d1bd4-4faa-49be-baca-c38505d8d989,属,Dichorhavirus,,病毒,Betarhabdovirinae,
53317adf-4d45-4366-9d3c-791706e42a83,53317adf-4d45-4366-9d3c-791706e42a83,种,Dichorhavirus coffeae,咖啡环斑病毒,病毒,Dichorhavirus,
68021f92-cac6-4d0e-b112-4bb822cd708f,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
68021f92-cac6-4d0e-b112-4bb822cd708f,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
68021f92-cac6-4d0e-b112-4bb822cd708f,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
68021f92-cac6-4d0e-b112-4bb822cd708f,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
