species_guid,taxonomy_guid,taxonomy_level,scientific_name,chinese_name,taxonomy_class,parent_scientific_name,id
65e26285-82c9-498d-acf4-f1c238d9d838,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
65e26285-82c9-498d-acf4-f1c238d9d838,5884aed8-359d-4366-be3b-77b3ebdbfc7a,属,Varicosavirus,巨脉病毒属,病毒,Betarhabdovirinae,
65e26285-82c9-498d-acf4-f1c238d9d838,65e26285-82c9-498d-acf4-f1c238d9d838,种,Varicosavirus treubiae,,病毒,Varicosavirus,
cca19236-fcdf-40e7-9062-fc6988acbd60,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
cca19236-fcdf-40e7-9062-fc6988acbd60,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
cca19236-fcdf-40e7-9062-fc6988acbd60,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
cca19236-fcdf-40e7-9062-fc6988acbd60,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
cca19236-fcdf-40e7-9062-fc6988acbd60,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
cca19236-fcdf-40e7-9062-fc6988acbd60,4a620c53-d4d4-41d6-8206-97977593baca,目,Mononegavirales,单分子负链RNA病毒目,病毒,Monjiviricetes,
cca19236-fcdf-40e7-9062-fc6988acbd60,f006ad23-4ea7-4f74-8779-31db1cb3ef8f,科,Rhabdoviridae,弹状病毒科,病毒,Mononegavirales,
cca19236-fcdf-40e7-9062-fc6988acbd60,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
cca19236-fcdf-40e7-9062-fc6988acbd60,5884aed8-359d-4366-be3b-77b3ebdbfc7a,属,Varicosavirus,巨脉病毒属,病毒,Betarhabdovirinae,
cca19236-fcdf-40e7-9062-fc6988acbd60,cca19236-fcdf-40e7-9062-fc6988acbd60,种,Varicosavirus thrysopteris,,病毒,Varicosavirus,
e9e11ed3-5ecd-42aa-a6f9-1943406993fc,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
e9e11ed3-5ecd-42aa-a6f9-1943406993fc,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
e9e11ed3-5ecd-42aa-a6f9-1943406993fc,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
e9e11ed3-5ecd-42aa-a6f9-1943406993fc,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
e9e11ed3-5ecd-42aa-a6f9-1943406993fc,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
