species_guid,taxonomy_guid,taxonomy_level,scientific_name,chinese_name,taxonomy_class,parent_scientific_name,id
0914181a-464b-4cb4-b786-633e686b0ddb,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
0914181a-464b-4cb4-b786-633e686b0ddb,5884aed8-359d-4366-be3b-77b3ebdbfc7a,属,Varicosavirus,巨脉病毒属,病毒,Betarhabdovirinae,
0914181a-464b-4cb4-b786-633e686b0ddb,0914181a-464b-4cb4-b786-633e686b0ddb,种,Varicosavirus meliloti,,病毒,Varicosavirus,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,4a620c53-d4d4-41d6-8206-97977593baca,目,Mononegavirales,单分子负链RNA病毒目,病毒,Monjiviricetes,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,f006ad23-4ea7-4f74-8779-31db1cb3ef8f,科,Rhabdoviridae,弹状病毒科,病毒,Mononegavirales,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,5884aed8-359d-4366-be3b-77b3ebdbfc7a,属,Varicosavirus,巨脉病毒属,病毒,Betarhabdovirinae,
82ba3f2a-0d81-43d2-b568-f0474869ccfe,82ba3f2a-0d81-43d2-b568-f0474869ccfe,种,Varicosavirus monocleae,,病毒,Varicosavirus,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,4a620c53-d4d4-41d6-8206-97977593baca,目,Mononegavirales,单分子负链RNA病毒目,病毒,Monjiviricetes,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,f006ad23-4ea7-4f74-8779-31db1cb3ef8f,科,Rhabdoviridae,弹状病毒科,病毒,Mononegavirales,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,5884aed8-359d-4366-be3b-77b3ebdbfc7a,属,Varicosavirus,巨脉病毒属,病毒,Betarhabdovirinae,
fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,fe2d3e85-b72d-41a9-ba06-a1a5e46961f3,种,Varicosavirus luffae,,病毒,Varicosavirus,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,4a620c53-d4d4-41d6-8206-97977593baca,目,Mononegavirales,单分子负链RNA病毒目,病毒,Monjiviricetes,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,f006ad23-4ea7-4f74-8779-31db1cb3ef8f,科,Rhabdoviridae,弹状病毒科,病毒,Mononegavirales,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,5884aed8-359d-4366-be3b-77b3ebdbfc7a,属,Varicosavirus,巨脉病毒属,病毒,Betarhabdovirinae,
ec4dda30-62dc-4d89-b6e9-55305b46f6d0,ec4dda30-62dc-4d89-b6e9-55305b46f6d0,种,Varicosavirus leucanthemi,,病毒,Varicosavirus,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,4a620c53-d4d4-41d6-8206-97977593baca,目,Mononegavirales,单分子负链RNA病毒目,病毒,Monjiviricetes,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,f006ad23-4ea7-4f74-8779-31db1cb3ef8f,科,Rhabdoviridae,弹状病毒科,病毒,Mononegavirales,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,b3b7ee2b-2304-446f-93f3-35bb9b205fdd,属,Deltanucleorhabdovirus,,病毒,Betarhabdovirinae,
90a96139-37a5-4c8c-9d5e-05ab3ad70703,90a96139-37a5-4c8c-9d5e-05ab3ad70703,种,Deltanucleorhabdovirus fragariae,,病毒,Deltanucleorhabdovirus,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,f5bed14c-f879-41f8-ade8-f3c4d51e6f7b,界,Riboviria,RNA病毒域,病毒,,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,9a6d8176-3b84-4386-b48f-f9ad7726d40b,界,Orthornavirae,正核糖病毒界,多种动物共患病,Riboviria,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,312ec124-10b2-42e1-8d57-ed854706542b,门,Negarnaviricota,负链RNA病毒门,病毒,Orthornavirae,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,c964dca9-15a4-4566-a942-1d0d27aa8005,门,Haploviricotina,简单病毒亚门,病毒,Negarnaviricota,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,0afad785-6a08-45bf-b907-36d83951634f,纲,Monjiviricetes,单分子负链荆楚病毒纲,病毒,Haploviricotina,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,4a620c53-d4d4-41d6-8206-97977593baca,目,Mononegavirales,单分子负链RNA病毒目,病毒,Monjiviricetes,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,f006ad23-4ea7-4f74-8779-31db1cb3ef8f,科,Rhabdoviridae,弹状病毒科,病毒,Mononegavirales,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,3ba95826-2050-4ad5-a439-fbe46f7a8549,科,Betarhabdovirinae,β-弹状病毒亚科,病毒,Rhabdoviridae,
82c33d6b-2a88-417d-b3c8-c98e734ebd63,b3b7ee2b-2304-446f-93f3-35bb9b205fdd,属,Deltanucleorhabdovirus,,病毒,Betarhabdovirinae,
