other_name_type,named_year,other_name,species_guid
拉丁名,(F.),Paria nigritus,e5e0c6a2-0c60-4d3b-a475-c61e3fde4d37
拉丁名,,Trioxys centaureae,dda0a665-9bed-4b1a-8a35-c153c303cd80
拉丁名,Esaki & Hashimoto,Monogonatopus orientalis,bcbd4b5c-bb23-4fe3-824e-c0969366aef3
拉丁名,,Aphis pilicornis,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,(KOCH),Cinara hyalinus,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,,Cinara piceicola,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,(KALTENBACH),Cinara pinicola,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,(KOCH),Cinaria hyalinus,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,HARTIG,Cinaria pilicornis,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,(KALTENBACH),Cinaria pinicola,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,KOCH,Cinaropsis hyalinus,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,,Cinaropsis pilicornis,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,(KALTENBACH),Cinaropsis pinicola,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,,Lachnus piceicola,a3082369-70a7-492a-8685-c0e454ee5ba2
拉丁名,,Coccygomimus hesperus,1e27d7fa-5c2f-42c5-8703-ceed0d62ace5
拉丁名,,Coelostoma assimile,d2e07ad4-9541-4079-a67e-d52902635565
拉丁名,"Kono & Watanabe, 1935",Ecphylus hattorii,6068e46a-d5f5-4250-ab47-e187946f9666
拉丁名,"(Picard & Lichtenstein, 1917)",Ecphylus lavagnei,6068e46a-d5f5-4250-ab47-e187946f9666
拉丁名,,Aphelinus capitis,623986f5-2827-4d40-9f3a-d84a6a70915b
拉丁名,,Aphelinus chilensis,623986f5-2827-4d40-9f3a-d84a6a70915b
拉丁名,,Aphytis capitis,623986f5-2827-4d40-9f3a-d84a6a70915b
拉丁名,,Aphytis longiclavae,623986f5-2827-4d40-9f3a-d84a6a70915b
拉丁名,,Aphytis riadi,623986f5-2827-4d40-9f3a-d84a6a70915b
拉丁名,,Trichogrammatoidea signiphoroides,623986f5-2827-4d40-9f3a-d84a6a70915b
拉丁名,,Cryptogonus orbiculus nigripennis,61caf0a5-e028-4654-add0-db97cb5cd951
拉丁名,Fullaway,Diachasmimorpha angaleti,107edea3-35ab-4972-8c6a-d7eaf3a5b8bc
拉丁名,,Tetrastichus bruzzonis,96ccbacb-e823-45fb-8d80-e5f87b778456
拉丁名,Mulsant,Azya pontbrianti,39e31781-b254-45bf-b3c6-c50949a23932
英文名,,swamp rice grass,5c3caa0d-56b4-44bb-af3e-8790316ca859
拉丁名,,Arthrolytus aeneoviridis,73c25240-8e21-43e2-b38a-8d7a16dcdc32
拉丁名,,Dibrachys aeneoviridis,73c25240-8e21-43e2-b38a-8d7a16dcdc32
拉丁名,,Antheraea mylitta,26291e74-5a60-4a47-8628-78a99fd4ac44
英文名,,"tusser, silk worm",26291e74-5a60-4a47-8628-78a99fd4ac44
拉丁名,,Ephialtes inquisitor,6b17a84d-0009-42ee-aac6-78a7ba759784
拉丁名,,Epiurus inquisitor,6b17a84d-0009-42ee-aac6-78a7ba759784
拉丁名,,Pimpla flavipes,6b17a84d-0009-42ee-aac6-78a7ba759784
拉丁名,,Pimpla inquisitor,6b17a84d-0009-42ee-aac6-78a7ba759784
拉丁名,,Scambus inquisitor,6b17a84d-0009-42ee-aac6-78a7ba759784
拉丁名,,Scaphoideus aegyptiacus,5739bf6b-69c7-4629-837d-9858ee28b919
拉丁名,,Opius persulcatus,65020788-618c-4196-8c08-97a5f72a9ec4
拉丁名,Meyrick,Gnorimoschema ergasima,268286f9-2830-48b2-90d5-85b2d93aa915
拉丁名,,Lita ergasima,268286f9-2830-48b2-90d5-85b2d93aa915
拉丁名,Meyrick,Phthorimaea ergasima,268286f9-2830-48b2-90d5-85b2d93aa915
拉丁名,,Circulifer fenestratus,58595586-e868-4f46-a6a8-979bfd13088e
拉丁名,(Howard),Litomastix bucculatricis,834e507b-a6c6-41b7-995d-9e93990031a0
拉丁名,,Pentacnemus bucculatricis,834e507b-a6c6-41b7-995d-9e93990031a0
拉丁名,Nixon,Apanteles arisba,48ad3a72-0e85-4b9e-be2d-9faf844d8a2d
拉丁名,,Solubea ypsilongriseus,feecc6ff-c85b-4f94-994f-a0840f25aa46
拉丁名,Say,Henicospilus purgatus,912f7a7b-ed4b-4c0d-9a0d-a02f88656f94
拉丁名,,Nephopterix infusella,e213eef1-d5fe-416b-aff3-93e6ed6b560a
拉丁名,Eschsch.,Rhamnus californica,6a3e1682-e59b-4112-b19a-a4eb07cc94c0
拉丁名,Mulsant,Cleothera notata,ab0e8350-979f-4173-a439-afbc53ff7565
拉丁名,,Nasutitermes arborum,406864f5-c35e-4300-ad20-aa2a3b344ef1
拉丁名,,Tetrastichus malacosomae,f32eb08b-126e-4215-b3f9-a5cd198d6f6f
拉丁名,,Habrocytus dispar,b77eccaa-f795-4668-9ab2-b05d5352ecbd
拉丁名,,Wheat rosette mosaic virus,1e9b9734-945e-46c9-8291-b1827cfaea1d
拉丁名,,wheat soilborne mosaic virus,1e9b9734-945e-46c9-8291-b1827cfaea1d
拉丁名,,Wheat soil-borne mosaic virus,1e9b9734-945e-46c9-8291-b1827cfaea1d
拉丁名,,cowpea stunt (?) luteovirus,26d0f3f7-8850-488d-ae90-a78340bf0820
拉丁名,,Hemiteles apantelis,076716a4-2b98-4c55-9c6e-ac971020db68
英文名,,"lodgepole pine, cone moth",7800a1b4-4eca-4259-8977-ac45c39de739
拉丁名,(Cam.),Biosteres tryoni,7f11a07d-7892-4795-be44-dfc5898742bf
拉丁名,,Diachasma tryoni,7f11a07d-7892-4795-be44-dfc5898742bf
拉丁名,,Opius tryoni,7f11a07d-7892-4795-be44-dfc5898742bf
拉丁名,,Coccigomimus turionellae,1823198c-9924-4a89-beab-e797e95e1e70
拉丁名,,Coccygomimus turionellae,1823198c-9924-4a89-beab-e797e95e1e70
拉丁名,(Linnaeus),Pimpla turionellae,1823198c-9924-4a89-beab-e797e95e1e70
拉丁名,Rottemburg,Lycaena icarus,ec0ff80a-27cb-426d-b745-d4318f8afea1
拉丁名,,Napomyza gymnostoma,15b77d98-2c81-4355-b8c6-e09b22b1525a
拉丁名,,Habrocytus conopidarum,320da100-4737-4883-a5f3-f4fe5e260ab9
拉丁名,(French),Eupelmus allyni,c5c4acbc-16ed-4ad8-a932-e4e2ed12d238
拉丁名,Xu and He,Megastigmus duclouxianae,84bfecc0-c142-4bc4-915f-ee8cee4547b1
英文名,,Areca white grub,df581d1b-23dd-412b-a87a-ecad040b7b13
拉丁名,Gylh.,Bothynoderes mendicus,6204d73d-b93f-478b-9b7b-ecc7dae011a9
拉丁名,(Gylh.),Cleonus mendicus,6204d73d-b93f-478b-9b7b-ecc7dae011a9
拉丁名,(Gylh.),Temnorhinus mendicus,6204d73d-b93f-478b-9b7b-ecc7dae011a9
拉丁名,,Calliephialtes comstockii,535b8c9b-bc46-4c10-a8ee-ffc643f268bc
拉丁名,,Ephialtes comstockii,535b8c9b-bc46-4c10-a8ee-ffc643f268bc
拉丁名,,Cheiropachus colon,e2d781e7-fa01-47d1-bd12-f0b42b3973b6
拉丁名,(Kby.),Campalita chinense,b10545f8-0c0e-443b-a31d-f2b09a9be717
拉丁名,,Apanteles xanthostigmus,c3a99e39-f7ed-4f7c-9718-f2c4f5424a02
拉丁名,,bean curly top virus,a77d5f46-3380-49f9-8f37-f60317945924
拉丁名,,Chrysopa basalis,101486b2-d9b9-44f7-886f-f6a55dd81712
拉丁名,,Dielis javana,e7895599-4c4f-49da-96a8-f6e9baaa1b60
拉丁名,(Szepligeti),Goryphus inferus,8012d8ac-e45c-412f-989a-f78b5d247e8b
拉丁名,,Exorista libatrix,71e238b4-55d1-4176-b02f-f79ebe539323
拉丁名,(BRAUER & BERGENSTAMM),Zenillia macropis,71e238b4-55d1-4176-b02f-f79ebe539323
英文名,,pigeon pea pod borer,c14dfce2-0990-4c11-b891-f1fad3ecc32c
拉丁名,,Nesopimpla naranyae,482155e4-d4d8-41ee-af01-00e96efbcfb3
拉丁名,,Pimpla naranyae,482155e4-d4d8-41ee-af01-00e96efbcfb3
拉丁名,"(Holmgren, 1872)",Pachyneuron groenlandicus,058ae068-7e2c-41f7-80d0-fe6589d7ddcf
拉丁名,,Adimonia capreae,5125bf0c-c873-4717-b289-f8e1aac1337e
拉丁名,Herbst,Galeruca capreae,5125bf0c-c873-4717-b289-f8e1aac1337e
拉丁名,(Fabricius),Galeruca lineola,5125bf0c-c873-4717-b289-f8e1aac1337e
拉丁名,,Galerucella capreae,5125bf0c-c873-4717-b289-f8e1aac1337e
英文名,,"leaf beetle, brown willow",5125bf0c-c873-4717-b289-f8e1aac1337e
英文名,,"leaf beetle, yellow willow",5125bf0c-c873-4717-b289-f8e1aac1337e
拉丁名,(Fabricius),Pyrrhalta lineola,5125bf0c-c873-4717-b289-f8e1aac1337e
拉丁名,"Timberlake, 1920",Anabrolepis extranea,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"i (Westwood, 1837)",Anabrolepis zetterstedti,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"Ratzeburg, 1852",Encyrtus dendripennis,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"Fonscolombe, 1832",Encyrtus intersectus,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"Westwood, 1837",Encyrtus zetterstedtii,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"(Westwood, 1837)",Epitetrachnemus zetterstedtii,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"(Timberlake, 1920)",Epitetracnemus extranea,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"(Timberlake, 1920)",Epitetracnemus extraneus,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,(Westwood),Epitetracnemus zetterstedti,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"(Westwood, 1837)",Epitetracnemus zetterstedtii,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"Six, 1867",Eupelmus pictipennis,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,"(Westwood, 1837)",Habrolepis zetterstedtii,68068e28-c6be-4b16-8b62-f14aeab8cecf
拉丁名,,Aeneolamia rubra,6ddb0cb1-3cf9-4268-9db2-fdf332b4cda9
拉丁名,,Phytozamia rubra,6ddb0cb1-3cf9-4268-9db2-fdf332b4cda9
拉丁名,,Tomaspis rubra,6ddb0cb1-3cf9-4268-9db2-fdf332b4cda9
英文名,,"blister, fly",e0bef0b5-d598-48b5-9e72-f84902b6ca64
英文名,,"cantharide, green",e0bef0b5-d598-48b5-9e72-f84902b6ca64
拉丁名,Linnaeus,Cantharis vesicatoria,e0bef0b5-d598-48b5-9e72-f84902b6ca64
英文名,,"spanish, fly",e0bef0b5-d598-48b5-9e72-f84902b6ca64
拉丁名,,Eucarcelia separata,7e32206c-2d35-47a6-8e18-f4a5cc8fc6cd
拉丁名,,Zenillia separata,7e32206c-2d35-47a6-8e18-f4a5cc8fc6cd
拉丁名,Schulten & Feijen,Tetrastichus confusus,cd52ab22-7aef-447c-bebf-fd647f924d13
拉丁名,,Calpodes,b0aa4b5b-65f9-462b-ab17-fb0cb24ab83a
拉丁名,Herrich-Scaffer,Calpodes sylvicola,b0aa4b5b-65f9-462b-ab17-fb0cb24ab83a
拉丁名,Herrich-Scaffer,Prenes sylvicola,b0aa4b5b-65f9-462b-ab17-fb0cb24ab83a
拉丁名,,Cephalonomia watersoni,fd7a866d-7194-4157-8ac2-faec0f40931f
英文名,,"admiral, red",6e619ac1-a1bf-46e2-a456-ffb255f1455c
拉丁名,Linnaeus,Cynthia atalanta,6e619ac1-a1bf-46e2-a456-ffb255f1455c
拉丁名,,Pyramaeis atalanta,6e619ac1-a1bf-46e2-a456-ffb255f1455c
拉丁名,Linnaeus,Pyrameis atalanta,6e619ac1-a1bf-46e2-a456-ffb255f1455c
英文名,,red admiral,6e619ac1-a1bf-46e2-a456-ffb255f1455c
拉丁名,UZEL,Thrips linarius (T.linaria),6cf0e3aa-543c-4865-b543-01229e982f06
拉丁名,,Thrips lini,6cf0e3aa-543c-4865-b543-01229e982f06
拉丁名,,Trichospilus pupivorus,9d9da30d-e56e-4515-9a32-fabe08963ad0
拉丁名,,Apanteles antipoda,208f7df0-6b4b-4e6c-a293-0722f49cb999
拉丁名,,Apanteles narangae,208f7df0-6b4b-4e6c-a293-0722f49cb999
拉丁名,(Hal.),Apanteles ruficrus,208f7df0-6b4b-4e6c-a293-0722f49cb999
拉丁名,,Apanteles sydneyensis,208f7df0-6b4b-4e6c-a293-0722f49cb999
拉丁名,,Cotesia antipoda,208f7df0-6b4b-4e6c-a293-0722f49cb999
拉丁名,,Cotesia manilae,208f7df0-6b4b-4e6c-a293-0722f49cb999
拉丁名,,Cotesia narangae,208f7df0-6b4b-4e6c-a293-0722f49cb999
拉丁名,Lederer,Bocchoris adipalis,45380cb5-f725-492d-aa71-1383e6a93916
拉丁名,,Nabis feroides,502e9e94-1725-419b-8ef2-07f8bdd6416a
拉丁名,(Baly),Andrector salvinii,84f53b63-f2b7-423e-8092-07ce3dac1760
拉丁名,Turner,Peperita euthysticha,8bf47ce0-a47a-4bcc-a79a-10b8f501e202
拉丁名,,Nematus septentrionalis,0be46987-0db8-45ff-9773-123163af0cac
英文名,,"nut, sawfly",0be46987-0db8-45ff-9773-123163af0cac
拉丁名,Schltdl.,Acacia diversifolia,f28aa390-587d-4760-b281-20c15a55ed63
拉丁名,Urb.,Leucaena brachycarpa,f28aa390-587d-4760-b281-20c15a55ed63
拉丁名,Urb.,Leucaena laxifolia,f28aa390-587d-4760-b281-20c15a55ed63
拉丁名,Urb.,Leucaena stenocarpa,f28aa390-587d-4760-b281-20c15a55ed63
拉丁名,(Gahan),Leptostyloides assimilis,de43e81b-37df-466d-806e-08d825fce4d7
拉丁名,Navas,Chrysopa exterior,3095fa4c-e62a-42dc-8186-0892bf113511
拉丁名,Linnaeus,Leucochloe daplidice,ed3566ed-ca03-453e-96a4-1584cc668aa6
拉丁名,Linnaeus,Pieris daplidice,ed3566ed-ca03-453e-96a4-1584cc668aa6
拉丁名,(Linnaeus),Synchloe daplidice,ed3566ed-ca03-453e-96a4-1584cc668aa6
拉丁名,"(Tschek, 1871)",Campoletis extricata,30440e63-d846-410e-a9af-18a319569145
拉丁名,"(Tschek, 1871)",Campoletis holmgreni,30440e63-d846-410e-a9af-18a319569145
拉丁名,"(Thomson, 1887)",Campoletis macroura,30440e63-d846-410e-a9af-18a319569145
拉丁名,,Allotria megourae,e80f49be-acc4-4d40-b2b0-14b021980317
拉丁名,(Guen.),Anicla incivis,3c426093-2e5a-4945-a081-0fb615148f23
拉丁名,Guenee,Lycophotia incivis,3c426093-2e5a-4945-a081-0fb615148f23
拉丁名,Ochsenheimer,Lycophotia infecta,3c426093-2e5a-4945-a081-0fb615148f23
拉丁名,,Peridroma incivis,3c426093-2e5a-4945-a081-0fb615148f23
拉丁名,Ochsenheimer,Peridroma infecta,3c426093-2e5a-4945-a081-0fb615148f23
拉丁名,(Mg.),Nemosturmia amoena,84e46541-bb6d-4de2-b977-0f470e032a7e
拉丁名,,Winthemia amoena,84e46541-bb6d-4de2-b977-0f470e032a7e
拉丁名,,Achrysocharis leptocerus,43f8bb3a-861d-4085-8c73-141aa3c25023
