other_name_type,named_year,other_name,species_guid
拉丁名,"Torrend, 1908",Comatricha equinoctialis,3b32cc69-1db1-48e1-bb23-d089c552f66e
拉丁名,"Peck, 1890",Comatricha longa,3b32cc69-1db1-48e1-bb23-d089c552f66e
拉丁名,"Minakata, 1925",Comatricha longa var. flaccida,3b32cc69-1db1-48e1-bb23-d089c552f66e
拉丁名,"(Peck) Massee, 1892",Stemonitis longa,3b32cc69-1db1-48e1-bb23-d089c552f66e
拉丁名,"(Peck) Nann.-Bremek., 1975",Symphytocarpus longus,3b32cc69-1db1-48e1-bb23-d089c552f66e
拉丁名,Wehm. 1952,Leptothyrella graminis,0801b7a0-d2ce-47b0-b3cd-a359c2736195
英文名,,black spot of elm,b5e4db25-42c5-4598-9192-011b931c1fae
拉丁名,(Fr.) Ellis & Everh.,Dothidella ulmea,b5e4db25-42c5-4598-9192-011b931c1fae
英文名,,elm anthracnose,b5e4db25-42c5-4598-9192-011b931c1fae
英文名,,elm leaf scab,b5e4db25-42c5-4598-9192-011b931c1fae
英文名,,elm leaf spot,b5e4db25-42c5-4598-9192-011b931c1fae
拉丁名,Miles.(无性世代),Gloeosporium ulmeum,b5e4db25-42c5-4598-9192-011b931c1fae
拉丁名,(Fr.) Thum. 1878,Gnomonia ulmea,b5e4db25-42c5-4598-9192-011b931c1fae
拉丁名,(Fr.) E. Mull.,Lambro ulmea,b5e4db25-42c5-4598-9192-011b931c1fae
英文名,,leaf spot of elm,b5e4db25-42c5-4598-9192-011b931c1fae
拉丁名,Fr.,Sphaeria ulmea,b5e4db25-42c5-4598-9192-011b931c1fae
英文名,,twig blight,b5e4db25-42c5-4598-9192-011b931c1fae
拉丁名,(Pers.) P. Karst. 1879,Acia denticulata,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
拉丁名,(Pers.) Bourdot & Galzin 1914,Acia uda denticulata,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
拉丁名,(Pers.) P. Karst. 1882,Climacodon ochraceus,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
拉丁名,(Fr.) P. Karst. 1879,Gloiodon pudorinus,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
拉丁名,Berk. & M.A. Curtis 1868,Hydnum decurrens,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
拉丁名,Pers. 1825,Hydnum denticulatum,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
拉丁名,Pers. 1792,Hydnum ochraceum,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
拉丁名,Fr. 1828,Hydnum pudorinum,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
拉丁名,Schwein. 1822,Hydnum rhois,27d2ac05-6a7f-47d3-8f9e-5d3f58530dab
