guid,scientific_name,scientific_name_with_authors,authorship,chinese_name,english_name,abbreviation,classification,parent_genus,taxonomic_level,sources,confirmation_status,reviewer,review_time,original_risk_code,is_species,author,created_time,editor,modified_time,temp_created_time
e5e0c6a2-0c60-4d3b-a475-c61e3fde4d37,Typophorus nigritus,Typophorus nigritus (Fabricius),(Fabricius),(叶甲),black sweet potato beetle,,昆虫,Typophorus,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
afa5bd40-73f5-47b8-806a-b1065bbe874f,Octosporea viridana,Octosporea viridana ,,,,,原生动物,Octosporea,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
e04b42be-26f2-4693-a835-b0fcb9733aa1,Stethantyx parkeri,"Stethantyx parkeri (Blanchard, 1945)","(Blanchard, 1945)",(姬蜂),,,昆虫,Stethantyx,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
2ba1b580-34fa-4c5a-82ba-c555cc5587d7,Arsenura,"Arsenura Duncan, 1841","Duncan, 1841",(大蚕蛾),,,昆虫,Saturniidae,属,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
b3d2dc41-6c1e-42b3-a29e-c59110603521,Lespesia lata,"Lespesia lata (Wiedemann, 1830)","(Wiedemann, 1830)",(寄蝇),,,昆虫,Lespesia,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
ecf772be-a6bf-4784-9fe4-a6cf3edbc76a,Dendrobium phalaenopsis,Dendrobium phalaenopsis ,,蝴蝶石斛,,,杂草,Dendrobium,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
9fea3fd2-2214-45bd-bd25-b8c224390ded,Tetrastichus colemani,Tetrastichus colemani Vier.,Vier.,(啮小蜂属),,,昆虫,Tetrastichus,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
c6aa2b67-06b2-411b-b26e-b8ceba753c70,Eretmocera impactella,Eretmocera impactella Walker,Walker,(绢蛾),,,昆虫,Eretmocera,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
dda0a665-9bed-4b1a-8a35-c153c303cd80,Trioxys centaurae,Trioxys centaurae (Haliday),(Haliday),(三叉蚜茧蜂属),,,昆虫,Trioxys,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
d49e6cad-912b-4118-9a76-c1379774dba1,Gynandrobrotica equestris,Gynandrobrotica equestris Fabricius,Fabricius,(叶甲),,,昆虫,Gynandrobrotica,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
2c56eb24-c8a0-4eea-9900-c123a0770c36,Ornativalva erubescens,"Ornativalva erubescens Walsingham, 1904","Walsingham, 1904",(柽麦蛾属),,,昆虫,Ornativalva,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
e6fd0081-efe2-4ebd-8810-ac04092d8b6c,Glypta rhyacioniae,"Glypta rhyacioniae Walley & Barron, 1977","Walley & Barron, 1977",(雕背姬蜂属),,,昆虫,Glypta,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
308d6bb7-4e3e-4290-8bbc-bbced0e217c5,Blepyrus saccharicola,"Blepyrus saccharicola Gahan, 1942","Gahan, 1942",(跳小蜂),,,昆虫,Blepyrus,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
bcbd4b5c-bb23-4fe3-824e-c0969366aef3,Haplogonatopus orientalis,Haplogonatopus orientalis Rohwer,Rohwer,(单节螯蜂属`),,,昆虫,Haplogonatopus,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
a3082369-70a7-492a-8685-c0e454ee5ba2,Cinara pilicornis,Cinara pilicornis Hartig,Hartig,(长足大蚜属),,,昆虫,Cinara,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
685d10ce-7730-443b-bf52-b2a9b2b3629d,Eurytoma caryedocida,Eurytoma caryedocida Rasplus,Rasplus,(广肩小蜂属),,,昆虫,Eurytoma,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
6c3b206f-a410-4c4b-b388-b264b067fff4,Urbanus obscurus,"Urbanus obscurus (Hewitson, 1867)","(Hewitson, 1867)",(豆叶弄蝶),,,昆虫,Urbanus,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
5d62d6a6-3b4f-4e7c-9a18-b6661f0b5604,Encarsia cibcensis,Encarsia cibcensis Lopez-Avila,Lopez-Avila,(恩蚜小蜂属),,,昆虫,Encarsia,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
d0d7a3d3-a3fe-461a-b1c7-a45563cf644f,Anteon flavicorne,Anteon flavicorne (Dalman),(Dalman),(安松螯蜂属),,,昆虫,Anteon,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
9714b466-5d7c-41c3-92bc-b4b0dea5c8f9,Cowperia,"Cowperia Girault, 1919","Girault, 1919",(跳小蜂),,,昆虫,Encyrtidae,属,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
d815eb5b-6574-4c54-9fab-b4e12807b7ca,Vipio rufa,Vipio rufa ,,(茧蜂),,,昆虫,Vipio,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
bfd651aa-45bc-4378-a060-ae241f0b6bae,Cheromettia sumatrensis,Cheromettia sumatrensis Heylaerts,Heylaerts,(刺蛾),,,昆虫,Cheromettia,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
e01d9cf3-87f1-4a32-9dcc-a96de4fd9ab4,Exapion,"Exapion Bedel, 1887","Bedel, 1887",(三锥象虫),,,昆虫,Brentidae,属,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
73e5788c-a25e-404f-9ff8-df07a3123fce,Epicauta aethiops,Epicauta aethiops (Latreille),(Latreille),(豆芫菁属),,,昆虫,Epicauta,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
191d8153-876d-4419-a554-da7f739459d9,Corticeus fraxini,"Corticeus fraxini (Kugelann, 1794)","(Kugelann, 1794)",(拟步甲),,,昆虫,Corticeus,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28,,2001-01-01,2022-10-04 20:32:07.130
