guid,scientific_name,scientific_name_with_authors,authorship,chinese_name,english_name,abbreviation,classification,parent_genus,taxonomic_level,sources,confirmation_status,reviewer,review_time,original_risk_code,is_species,author,created_time,editor,modified_time,temp_created_time
5dc440ce-6af7-49d3-84bb-14b771f27d93,Terellia virens,Terellia virens (Loew),(Loew),(实蝇),,,昆虫,Terellia,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
f0408c98-91e6-4d38-8daa-0af44cd379e6,Agamomermis,Agamomermis ,,,,,线虫,Mermithidae,属,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
2cdc8d67-d061-46b8-a264-06aff436e160,Phycita dentilinella,Phycita dentilinella ,,(斑螟属),,,昆虫,Phycita,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
544beeaf-b690-4bef-8993-067c717efbd7,Centratherum muticum,Centratherum muticum ,,,,,杂草,Centratherum,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
29160005-ada0-4e61-9142-07e233d01e4b,Silpha schreberi,Silpha schreberi ,,,,,昆虫,Silpha,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
369725d2-2700-4acd-99f7-12506857bce0,Palpozenillia diatraeae,"Palpozenillia diatraeae Townsend, 1914","Townsend, 1914",(寄蝇),,,昆虫,Palpozenillia,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
23290247-48b2-4d75-97dc-0f190cefd7d0,Pales townsendi,"Pales townsendi (Baranov, 1935)","(Baranov, 1935)",(栉寄蝇属),,,昆虫,Pales,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
a5936c3a-5a3d-456f-abd2-143ae6725c7a,Ischnus stokesii,Ischnus stokesii ,,(姬蜂),,,昆虫,Ischnus,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
f40ddff4-3572-464a-98ac-13dff481ff5d,Cyclotorna monocentra,"Cyclotorna monocentra Meyrick, 1907","Meyrick, 1907",(蚁巢蛾),,,昆虫,Cyclotorna,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
12e99d5a-e621-4cc6-98ac-11b1ffb3ef9f,Croesia curvalana,Croesia curvalana (Kearfott),(Kearfott),(弧翅卷蛾属),blueberry leaftier,,昆虫,Croesia,种,,已确认,admin,1900-01-01,,True,CPC2006,2007-11-28 00:00:00,,2001-01-01,2022-10-04 20:32:07.130
