other_name_type,named_year,other_name,species_guid
拉丁名,"Chou, 1985",Aspidiotus yiei,084c1e94-5728-474c-99fd-cead532d3e74
拉丁名,"Tao, 1999",Taiwanaspidiotus yei,084c1e94-5728-474c-99fd-cead532d3e74
中文名,,寡腺台圆盾蚧,084c1e94-5728-474c-99fd-cead532d3e74
中文名,,栲台湾圆盾蚧,084c1e94-5728-474c-99fd-cead532d3e74
拉丁名,(Torr.) Waterf.,Physalis virginiana var. sonorae,e1c076b0-66a3-4ada-b51e-bf48c7e77e3a
拉丁名,,Chenopodium vachelii,7b94b9df-9004-49cc-899d-091e0dd2731f
拉丁名,Hook. & Arn. 1838,Chenopodium vachellii,7b94b9df-9004-49cc-899d-091e0dd2731f
拉丁名,,Cicca,b43d98b5-7b5e-4763-9e8f-03d577678c88
拉丁名,"Linnaeus, 1758",Cynips sycomori,9ad5907b-7272-4283-9c1e-6dff5ac403ae
拉丁名,"Westwood, 1840",Sycophaga crassipes,9ad5907b-7272-4283-9c1e-6dff5ac403ae
拉丁名,"Westwood, 1840",Sycophantha crassipes,9ad5907b-7272-4283-9c1e-6dff5ac403ae
拉丁名,"（Fall）,1905",Cathorama impressifrons,dfe429c1-e5aa-41f4-911f-68ce35035e58
拉丁名,"(Gorham),1886",Cathorama puncticeps,dfe429c1-e5aa-41f4-911f-68ce35035e58
拉丁名,"Cnérin-Méneville,1850",Cathorama tabaci,dfe429c1-e5aa-41f4-911f-68ce35035e58
英文名,,"corn, thrips (Philippines)",904111f2-fc43-481e-a715-2fb002e80a22
英文名,,cotton bud thrips,b5e169c9-c225-41db-bc57-04437c1c7c80
英文名,,cotton thrips,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Shiraki, 1912",Euthrips gossypii,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Girault, 1927",Frankliniella aeschyli,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Bagnall, 1926",Frankliniella africana,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Bagnall, 1926",Frankliniella anglicana,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Moulton, 1940",Frankliniella clitoriae,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Priesner, 1923",Frankliniella dampfi,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Karny, 1925",Frankliniella dampfi interocellularis,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Priesner, 1936",Frankliniella dampfi nana,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Bagnall, 1919",Frankliniella delicatula,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Priesner, 1938",Frankliniella favoniana,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Zheng & Feng, 2009",Frankliniella hainanensis,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Morison, 1930",Frankliniella insularis (Franklin),b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Moulton, 1948",Frankliniella ipomoeae,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Kelly & Mayne, 1934",Frankliniella kellyana,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Andrewartha, 1937",Frankliniella lycopersici,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Moulton, 1933",Frankliniella paucispinosa,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Moulton, 1940",Frankliniella pembertoni,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Karny, 1922",Frankliniella persetosa,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Moulton, 1948",Frankliniella schultzei nigra,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Schmutz, 1913",Frankliniella sulphurea,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Karny, 1925",Frankliniella tabacicola,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Karny, 1920",Frankliniella trybomi,b5e169c9-c225-41db-bc57-04437c1c7c80
英文名,,kromnek thrips,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Girault, 1928",Parafrankliniella nigripes,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,"Trybom, 1910",Physopus schultzei,b5e169c9-c225-41db-bc57-04437c1c7c80
英文名,,"thrips, cotton bud",b5e169c9-c225-41db-bc57-04437c1c7c80
英文名,,"thrips, kromnek",b5e169c9-c225-41db-bc57-04437c1c7c80
英文名,,"thrips, tomato",b5e169c9-c225-41db-bc57-04437c1c7c80
英文名,,tomato thrips,b5e169c9-c225-41db-bc57-04437c1c7c80
拉丁名,Forssk.,Caucalis angustifolia,a3639aee-df0c-471e-bf6b-a3b52ed55cff
拉丁名,Savi,Caucalis aspersa,a3639aee-df0c-471e-bf6b-a3b52ed55cff
拉丁名,F.Heller,Caucalis divaricata,a3639aee-df0c-471e-bf6b-a3b52ed55cff
拉丁名,Moench,Torilis divaricata,a3639aee-df0c-471e-bf6b-a3b52ed55cff
拉丁名,"Wallr., 1822",Torilis infesta,a3639aee-df0c-471e-bf6b-a3b52ed55cff
拉丁名,(L.) Nyman,Asperula galioides var. glauca,808d300f-d314-4182-8079-391a58c03a22
拉丁名,"(Gaudin) Rouy, 1903",Asperula galioides var. saxonica,808d300f-d314-4182-8079-391a58c03a22
拉丁名,(L.) Besser,Asperula glauca,808d300f-d314-4182-8079-391a58c03a22
拉丁名,"Gaudin, 1828",Galium glaucum var. grandiflorum,808d300f-d314-4182-8079-391a58c03a22
拉丁名,"Gaudin, 1828",Galium glaucum var. lugdunense,808d300f-d314-4182-8079-391a58c03a22
拉丁名,"Gaudin, 1828",Galium glaucum var. massiliense,808d300f-d314-4182-8079-391a58c03a22
拉丁名,"Gaudin, 1828",Galium glaucum var. pyrenaicum,808d300f-d314-4182-8079-391a58c03a22
拉丁名,"Gaudin, 1828",Galium glaucum var. saxonicum,808d300f-d314-4182-8079-391a58c03a22
英文名,,"clothes moth, common",9538771e-cbd6-4c4b-a0b1-baa794344721
英文名,,"clothes moth, webbing",9538771e-cbd6-4c4b-a0b1-baa794344721
拉丁名,,Tinea biseliella,9538771e-cbd6-4c4b-a0b1-baa794344721
拉丁名,Hummel,Tinea bisselliella,9538771e-cbd6-4c4b-a0b1-baa794344721
拉丁名,Treitschke,Tinea crinella,9538771e-cbd6-4c4b-a0b1-baa794344721
拉丁名,Stephens,Tinea destructor,9538771e-cbd6-4c4b-a0b1-baa794344721
拉丁名,Clemens,Tinea lanariella,9538771e-cbd6-4c4b-a0b1-baa794344721
拉丁名,,Tineola biseliella,9538771e-cbd6-4c4b-a0b1-baa794344721
拉丁名,,Tineola crinella,9538771e-cbd6-4c4b-a0b1-baa794344721
中文名,,幕衣蛾,9538771e-cbd6-4c4b-a0b1-baa794344721
中文名,,织网衣蛾,9538771e-cbd6-4c4b-a0b1-baa794344721
拉丁名,Raf.,Adventina ciliata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,M.F.Johnson,Ageratum perplexans,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,(Kunth) Steud.,Baziasa urticifolia,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,E.P.Bicknell,Galinsoga aristulata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,H.St.John & D.White,Galinsoga bicolorata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,St. John & D.White,Galinsoga bicolorata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,Otto,Galinsoga brachystephana,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,Otto ex Heer & Regel,Galinsoga brachystephana,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,Regel,Galinsoga brachystephana,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,(DC.) Sch.Bip.,Galinsoga caracasana,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,(Raf.) S.F.Blake,Galinsoga ciliata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,(Raf.) S.F.Blake.,Galinsoga ciliata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,,Galinsoga ciliata f. ciliata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,(Thell.) Lousley,Galinsoga ciliata f. vargasiana,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,,Galinsoga ciliata subsp. ciliata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,Cuatrec.,Galinsoga eligulata,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,Benth.,Galinsoga hispida,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,Fenzl,Galinsoga hispida var. albiflora,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,,Galinsoga hispida var. hispida,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,Fenzl,Galinsoga hispida var. purpurascens,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,Hieron.,Galinsoga humboldtii,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,(DC.) A.Gray,Galinsoga parviflora var. caracasana,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,(Kunth) Benth.,Galinsoga urticifolia,4a667cfd-9432-409c-a83c-7d75b79f7c6f
拉丁名,(Stainton),Acedes pallescentella,ce8a06f5-c51c-4921-b62b-29fda0e45590
拉丁名,Zagulyaev,Tinea coacticella,ce8a06f5-c51c-4921-b62b-29fda0e45590
拉丁名,Gregson,Tinea nigrifoldella,ce8a06f5-c51c-4921-b62b-29fda0e45590
中文名,,大淡色衣蛾,ce8a06f5-c51c-4921-b62b-29fda0e45590
拉丁名,"Kirby, 1811",Apion scutellare,7c75553f-2fec-41be-9c8a-68d75d196365
