other_name_type,named_year,other_name,species_guid
拉丁名,"Meyrick, 1911",Tinea sartoria,88b5cc11-1740-446f-a153-d575da6ab581
拉丁名,"Kumar & Lavigne, 1970",Tuberdefectus eastopi,85a18218-12e3-46c4-a882-cd256dbb8079
拉丁名,"Montrouzier, 1855",Icthyosoma dejanii,c62dec4d-23db-4446-8110-63e6c32a2db5
拉丁名,"Pascoe, 1867",Tmesisternus equestris,c62dec4d-23db-4446-8110-63e6c32a2db5
拉丁名,"Meyrick, 1907",Cacoecia acrocausta,f692fe94-fd27-437b-b9be-4bd3a0d40da2
拉丁名,"Razowski, 1966",Tortrix kawabei,a88e3e64-f6ed-4ac8-9693-b65a9d9509c6
拉丁名,"Graham, 1994",Torymus (Torymus) lampros,ed01b09d-3049-40e8-b75d-9ea2b3132674
拉丁名,"Graham, 1994",Torymus (Torymus) novitzkyi,4287a272-17bf-4ee8-afee-69c34fd5b7bd
拉丁名,"Walker, 1833",Callimome varians,199b1bfc-85a6-4d65-a299-099642aefa47
拉丁名,"Thomson, 1876",Syntomaspis annella,199b1bfc-85a6-4d65-a299-099642aefa47
拉丁名,"Thomson, 1876",Syntomaspis annellus,199b1bfc-85a6-4d65-a299-099642aefa47
拉丁名,"(F?rster, 1841)",Syntomaspis pubescens,199b1bfc-85a6-4d65-a299-099642aefa47
拉丁名,"(Walker, 1833)",Syntomaspis varians,199b1bfc-85a6-4d65-a299-099642aefa47
拉丁名,"(Walker, 1833)",Torymus (Syntomaspis) varians,199b1bfc-85a6-4d65-a299-099642aefa47
拉丁名,"(Walker, 1833)",Torymus (Torymus) varians,199b1bfc-85a6-4d65-a299-099642aefa47
拉丁名,"F?rster, 1841",Torymus pubescens,199b1bfc-85a6-4d65-a299-099642aefa47
拉丁名,"Gmelin, 1790",Coccus liriodendri,2465d810-3ab3-4018-ae8b-0a2b05ec0db5
拉丁名,"Fernald, 1903",Eulecanium liriodendri,2465d810-3ab3-4018-ae8b-0a2b05ec0db5
拉丁名,"Cockerell, 1899",Lecanium liriodendri,2465d810-3ab3-4018-ae8b-0a2b05ec0db5
拉丁名,"Pettit & McDaniel, 1920",Lecanium liriodendri,2465d810-3ab3-4018-ae8b-0a2b05ec0db5
拉丁名,"Cook, 1878",Lecanium tulipiferae,2465d810-3ab3-4018-ae8b-0a2b05ec0db5
拉丁名,"Sanders, 1909",Toumeyella liriodendri,2465d810-3ab3-4018-ae8b-0a2b05ec0db5
英文名,,tulip-tree scale,2465d810-3ab3-4018-ae8b-0a2b05ec0db5
拉丁名,"Muir, 1920",Delphacodes nigeriensis,e6730c1f-eaef-411e-b16c-7849b738ac3b
拉丁名,"Fabricius, 1775",Buprestis chrysostigma,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Pallas, 1773",Buprestis picta,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Olivier, 1790",Buprestis quatuordecimpunctata,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Schrank von Paula, 1789",Buprestis silphoides,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Pic, 1898",Melanophila anatolica,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Obenberger, 1917",Melanophila atomosparsa,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Chevrolat, 1854",Melanophila consobrina,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Bedel, 1921",Melanophila henoni,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Obenberger, 1924",Melanophila leonhardi,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Pic, 1918",Melanophila meridionalis,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Pic, 1918",Melanophila multinotata,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Obenberger, 1924",Melanophila parvipunctata,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Pic, 1918",Melanophila quadrinotata,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Théry, 1934",Melanophila reymondi,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Pic, 1918",Melanophila subjuncta,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Pic, 1898)",Trachypteris anatolica,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Obenberger, 1917)",Trachypteris atomosparsa,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Fabricius, 1775)",Trachypteris chrysostigma,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Chevrolat, 1854)",Trachypteris consobrina,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Bedel, 1921",Trachypteris henoni,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Obenberger, 1924",Trachypteris leonhardi,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Pic, 1918)",Trachypteris meridionalis,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Pic, 1918)",Trachypteris multinotata,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Théry, 1930",Trachypteris ochroptera,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Obenberger, 1924",Trachypteris parvipunctata,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Pic, 1918)",Trachypteris quadrinotata,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Olivier, 1790)",Trachypteris quatuordecimpunctata,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Théry, 1934)",Trachypteris reymondi,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Schrank von Paula, 1789)",Trachypteris silphoides,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"(Pic, 1918)",Trachypteris subjuncta,5e15ab7f-f478-433b-b4dc-164a54187dea
中文名,,十斑吉丁虫,5e15ab7f-f478-433b-b4dc-164a54187dea
中文名,,杨树吉丁虫,5e15ab7f-f478-433b-b4dc-164a54187dea
拉丁名,"Linnaeus, 1763",Sirex columba,5aa0f1f2-6462-4473-8067-8ebb9edd7bcb
拉丁名,"(Linnaeus, 1763)",Tremex columba,5aa0f1f2-6462-4473-8067-8ebb9edd7bcb
拉丁名,,Aleurodes abutiloneus,35cb3e00-b9d2-4a11-a70f-91207605a77e
拉丁名,,Tetraleurodes abutiloneus,35cb3e00-b9d2-4a11-a70f-91207605a77e
中文名,,结翅粉虱,35cb3e00-b9d2-4a11-a70f-91207605a77e
拉丁名,,Aleyrodes packardi,d1d4b165-185e-4098-b054-e37f7f8e5f2c
拉丁名,(MORRILL),Asterochiton packardi,d1d4b165-185e-4098-b054-e37f7f8e5f2c
拉丁名,"Signoret, 1882",Aleurodes lauri,df671eeb-ba53-4f25-bcf1-fd1b5f52c163
拉丁名,,Aleuroparadoxus lauri,df671eeb-ba53-4f25-bcf1-fd1b5f52c163
拉丁名,Signoret,Ogivaleurodes lauri,df671eeb-ba53-4f25-bcf1-fd1b5f52c163
拉丁名,"Takahashi, 1940",Trialeurodes klemmi,df671eeb-ba53-4f25-bcf1-fd1b5f52c163
拉丁名,Misra,Aleyrodes ricini,19feec98-2ae1-41ac-aa9a-359a53396b7a
英文名,,castor whitefly,19feec98-2ae1-41ac-aa9a-359a53396b7a
拉丁名,Corbett,Trialeurodes desmodii,19feec98-2ae1-41ac-aa9a-359a53396b7a
拉丁名,El Khidir & Khalifa,Trialeurodes lubia,19feec98-2ae1-41ac-aa9a-359a53396b7a
拉丁名,Singh,Trialeurodes rara,19feec98-2ae1-41ac-aa9a-359a53396b7a
拉丁名,,Aleurochiton variabilis,643eb0ae-9ab7-4973-b487-c08a5a864ddb
拉丁名,,Aleurodes variabilis,643eb0ae-9ab7-4973-b487-c08a5a864ddb
拉丁名,(QUAINTANCE),Aleurodicus variabilis,643eb0ae-9ab7-4973-b487-c08a5a864ddb
拉丁名,(QUAINTANCE),Asterochiton variabilis,643eb0ae-9ab7-4973-b487-c08a5a864ddb
拉丁名,(QUAINTANCE),Metaleurodicus variabilis,643eb0ae-9ab7-4973-b487-c08a5a864ddb
拉丁名,Corbett,Trialeurodes caricae,643eb0ae-9ab7-4973-b487-c08a5a864ddb
拉丁名,"Quednau & Samiran Chakrabarti, 1976",Periphyllus pusillus,f3273714-5c15-4631-9aa0-f06f31d2164c
拉丁名,"Retzius, 1783",Bombyx bicaudata,404a1bfd-4699-4050-94c4-7e4902dbc615
拉丁名,"Clerck, 1759",Bombyx floccosa,404a1bfd-4699-4050-94c4-7e4902dbc615
拉丁名,"Fabricius, 1787",Bombyx mali,404a1bfd-4699-4050-94c4-7e4902dbc615
拉丁名,"Haworth, 1803",Bombyx pallidus,404a1bfd-4699-4050-94c4-7e4902dbc615
拉丁名,"Paffenzeller, 1860",Gastropacha arbusculae,404a1bfd-4699-4050-94c4-7e4902dbc615
