other_name_type,named_year,other_name,species_guid
拉丁名,(Fabricius),Rhinocoris fuscipes,4120538c-1454-4aab-9a19-f7db71b86114
拉丁名,(Rehm) Theiss. & Syd.,Rhagadolobium cucurbitacearum,d8f75e28-65ba-4b08-91d3-60aa583e88d5
英文名,,necrotic ring spot of potato tubers,382ee622-1781-45a0-8dec-881204517e49
英文名,,Potato tuber necrotic ringspot disease,382ee622-1781-45a0-8dec-881204517e49
中文名,,朱连属,9da1a19f-76d8-4882-917b-d0b65aa2ebf1
英文名,,Nigerian mahogany,68a648a3-a5c6-4ad4-9cdb-634530250b23
拉丁名,"(Hendel, 1923)",Hexomyza sarothamni,b3c1fa87-2382-47a6-a2a8-0b16ca4c9fc2
拉丁名,Coquebert de Monbret,Blatta pacifica,40d7d094-cbe1-4367-9aff-3d610efce7aa
英文名,,two-spotted cockroach,40d7d094-cbe1-4367-9aff-3d610efce7aa
拉丁名,"Snyder, 1926",Kalotermes (Neotermes) manni,40af594d-1925-4404-86b5-7460b7be7196
英文名,,bud-union crease of citrus,fb43532c-e111-4ac6-a475-adb3264f0709
英文名,,gum pocket of citrus,111625e4-386d-4c60-b88d-d3f0716fcceb
拉丁名,,Apple horseshoe wound agent,2343df54-014d-405e-8a19-365f519af877
英文名,,sweet cherry rough fruit,96f2281c-768e-4405-8651-9386cc64d11c
拉丁名,,Sweet cherry rough fruit agent,96f2281c-768e-4405-8651-9386cc64d11c
英文名,,black canker of cherry,261eddfc-39f8-4d6c-8e42-1fd7ca2a59c5
英文名,,yellows of blackcurrant,1757c5f8-1dac-4a23-b833-4e761b53593e
英文名,,Apple (Stayman) blotch,f24d1697-90d4-4f1d-b8d2-d04832aeebef
英文名,,leaf pucker of apple,f24d1697-90d4-4f1d-b8d2-d04832aeebef
英文名,,russet ring of apple,f24d1697-90d4-4f1d-b8d2-d04832aeebef
英文名,,stayman blotch,f24d1697-90d4-4f1d-b8d2-d04832aeebef
拉丁名,Piper,Ambrosia artemisiifolia subsp. diversifolia,04ebbd4e-24a3-4945-be0c-5439243350cf
拉丁名,Piper,Ambrosia artemisiifolia var. diversifolia,04ebbd4e-24a3-4945-be0c-5439243350cf
