other_name_type,named_year,other_name,species_guid
拉丁名,"A.W. Ramaley, 1992",Kabatina mahoniae,80e07bff-9a2c-4cbc-a345-62f81b7cd6eb
拉丁名,"(R. Schneid. & Arx) M. Morelet, 1977",Kabatina thujae var. juniperi,4ab187d4-6a3a-4f04-b4b4-8ffe4b540330
拉丁名,Cooke 1885,Gloeosporium berberidis,2b2cf376-a4e1-4d67-9523-1842b1f27e5a
拉丁名,Bubák & Syd. 1915,Pachybasidiella polyspora,4442bd60-78b0-4652-a9c7-05bb3204315a
拉丁名,"Aureobasidium zeae (Narita & Y. Hirats.) Dingley , 1977",Aureobasidiuin zeae,4571c290-20d7-486d-912e-0870478de350
英文名,,eye spot: maize,4571c290-20d7-486d-912e-0870478de350
英文名,,maize eye spot,4571c290-20d7-486d-912e-0870478de350
拉丁名,(G.F. Atk. & Edgerton) W.B. Cooke 1962,Aureobasidium nigricans,83893527-32a6-4e27-9134-43fabb08b0f6
拉丁名,(G.F. Atk. & Edgerton) Clem. 1931,Protocoronis nigricans,83893527-32a6-4e27-9134-43fabb08b0f6
拉丁名,G.F. Atk. & Edgerton 1907,Protocoronospora nigricans,83893527-32a6-4e27-9134-43fabb08b0f6
拉丁名,"(Kirchn.) W.B. Cooke, 1961",Aureobasidium caulivorum,6d4a95ac-ef49-493e-99d0-36b558b423fd
英文名,,clover scorch,6d4a95ac-ef49-493e-99d0-36b558b423fd
拉丁名,(Kirchn.) Karak. 1922,Exobasidiopsis caulivora,6d4a95ac-ef49-493e-99d0-36b558b423fd
拉丁名,Kirchn. 1902,Gloeosporium caulivorum,6d4a95ac-ef49-493e-99d0-36b558b423fd
英文名,,northern: clover anthracnose,6d4a95ac-ef49-493e-99d0-36b558b423fd
英文名,,scorch: clover,6d4a95ac-ef49-493e-99d0-36b558b423fd
拉丁名,(Pers.) Pers. 1801,Boletus nitidus,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(P. Karst.) P. Karst. 1899,Chaetoporus euporus,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(Pers.) Donk 1967,Chaetoporus nitidus,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,P. Karst. 1890,Chaetoporus tenuis,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(Pers.) Saaren. & Kotir. 2002,Irpex nitidus,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(P. Karst.) Sacc. 1891,Mucronoporus tenuis,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(P. Karst.) P. Karst. 1881,Physisporus euporus,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(Pers.) Chevall. 1826,Physisporus nitidus,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,P. Karst. 1868,Polyporus euporus,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(Pers.) Fr. 1818,Polyporus nitidus,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(P. Karst.) Cooke 1886,Poria eupora,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,Pers. 1800,Poria nitida,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(Pers.) Vesterh. 1996,Steccherinum nitidum,b4a81212-95dc-4023-a7be-433659fed53f
中文名,,真卧孔菌,b4a81212-95dc-4023-a7be-433659fed53f
拉丁名,(Peck) J.E. Wright 1964,Chaetoporus fimbriatellus,132c95bb-7a50-4425-b1e1-2915c25793a0
拉丁名,"(Peck) Parmasto, 1963",Chaetoporus fimbriatellus,132c95bb-7a50-4425-b1e1-2915c25793a0
拉丁名,(Peck) Kotir. & Saaren. 2002,Irpex fimbriatellus,132c95bb-7a50-4425-b1e1-2915c25793a0
拉丁名,"(Peck) Ryvarden, 1972",Junghuhnia fimbriatella,132c95bb-7a50-4425-b1e1-2915c25793a0
