other_name_type,named_year,other_name,species_guid
拉丁名,"Obenberger, 1936",Agrilus tritonius,6c153513-3f9a-45fe-8cd6-48bbcae0fae4
拉丁名,"Deyrolle, 1864",Agrilus chalybeus,7f15c7af-fa31-45b4-b6c2-c18252b09869
拉丁名,"Emerson, 1925",Kalotermes (Neotermes) clearei,5eb4d72b-9689-4180-9130-725140f04890
拉丁名,"Cobos, 1968",Agrilus cojbalsanensis,74390b3c-4b69-40c9-8c82-0d9aad3a1788
拉丁名,"Toyama, 1988",Agrilus nagaii,564c93d2-46e6-4a1f-806b-5ce1863abb81
拉丁名,"Fisher, 1930",Agrilus pendleburyi,564c93d2-46e6-4a1f-806b-5ce1863abb81
拉丁名,"Holynski, 2003",Agrilus papua,decbf817-d492-4724-acd4-119fda9a53b8
拉丁名,"Obenberger, 1924",Agrilus surcoufi,decbf817-d492-4724-acd4-119fda9a53b8
拉丁名,"Kerremans, 1900",Agrilus venditator,decbf817-d492-4724-acd4-119fda9a53b8
拉丁名,"Obenberger, 1923",Agrilus rothkirchi,1d73d789-7759-4c0f-89f0-98de20aad433
拉丁名,"Fisher, 1933",Agrilus aztecus,30e9e9c8-b111-4ad7-9f56-3f911c954dc1
拉丁名,"Obenberger, 1935",Agrilus sumministratus,2f870dee-0e4d-4bb6-925d-55c43c673e55
拉丁名,"Obenberger, 1932",Agrilus sopotskoi,914b28c4-7a2d-47c7-9e37-44dd04114436
拉丁名,"Obenberger, 1935",Agrilus tornoon,914b28c4-7a2d-47c7-9e37-44dd04114436
拉丁名,"Obenberger, 1940",Agrilus duplosignatus,96cade9e-3947-4715-b24a-af0704af08be
拉丁名,"Burgeon, 1941",Agrilus collarti,68d3b386-1a3c-4d9b-bcac-ece1e44c2ddb
拉丁名,"Hespenheide, 1974",Agrilus hainesi,045f3ea9-efc3-4fd0-a7bc-e2680d08f687
拉丁名,"Baudon, 1965",Agrilus brixi,8d28b01f-51b1-4b4e-b420-ae8e2f4fbe7c
拉丁名,"(Kerremans, 1909)",Agrilus congolanus,3a98b801-b970-4993-8123-2ac2bf6a997b
拉丁名,"Obenberger, 1931",Agrilus balthasari,49ffe984-54f2-4ce6-a554-5eecd06ee38c
拉丁名,"Obenberger, 1924",Agrilus intrusus,6c287e84-19e5-4add-aca3-6f79ab11acb9
拉丁名,"Obenberger, 1917",Agrilus bavaricus,b33b36e9-df5b-4a5f-b6a0-fdf189f1961e
拉丁名,"Redtenbacher, 1849",Agrilus cupreus,b33b36e9-df5b-4a5f-b6a0-fdf189f1961e
拉丁名,"(Théry, 1905)",Agrilus inornatus,2f613f46-b061-4b9c-89c7-a11ce8d898c6
拉丁名,"Horn, 1894",Agrilus ineptus,bcac814a-07a0-4491-833c-86d474b266fa
拉丁名,"Fisher, 1921",Agrilus inconstans,c686ea3b-ed35-490c-a1c2-9a9c590f842d
拉丁名,"Waterhouse, 1889",Agrilus apicatus,6fea3d01-ec2b-42b6-8102-0dd06e3bf247
拉丁名,"Kerremans, 1892",Agrilus imbellis,601cc229-0270-45db-b116-004c4b2f1df0
拉丁名,"Uhler, 1855",Agrilus impressipennis,83b97a6a-c4d7-4da2-9df5-13142b7d2879
拉丁名,"Gory, 1841",Agrilus zemes,83b97a6a-c4d7-4da2-9df5-13142b7d2879
拉丁名,"Thomson, 1879",Agrilus flavotaeniatus,016fde4b-f775-446c-a5a4-79708ac5748a
拉丁名,"Théry, 1904",Agrilus horni,61d4c471-217d-4cde-b811-714d9b998793
拉丁名,"Hespenheide, 1990",Agrilus klapperichi,931f8f61-a6d4-4b55-8f41-9a599aaf1bf5
拉丁名,"Obenberger, 1932",Agrilus alferakii,18dfb0a9-5c43-4485-998f-cfbb0e21c27a
拉丁名,"Obenberger, 1918",Agrilus aladaghensis,7cc94bce-33c0-41eb-9806-8b33280c78e6
拉丁名,"Murray, 1868",Agrilus capensis,18e4e49d-5d1a-47d3-b9c8-11a42578cabf
拉丁名,"Kerremans, 1899",Agrilus gravidus,18e4e49d-5d1a-47d3-b9c8-11a42578cabf
拉丁名,"Obenberger, 1936",Agrilus beppuensis,33a971a0-3c70-4b61-b9e9-097a9907854d
拉丁名,"Gebhardt, 1928",Agrilus hastuliferoides,33a971a0-3c70-4b61-b9e9-097a9907854d
拉丁名,"Obenberger, 1935",Agrilus delaporteanus,d551d91c-9409-44c7-b4f8-6db7d24892d9
拉丁名,"Bily, 1991",Agrilus viscivorus,29a5d066-5c5e-4136-aa30-69fb4daa8d2e
拉丁名,"Waterhouse, 1889",Agrilus carinifer,2b1462b1-91f8-490f-8ede-328af3be1704
拉丁名,"Kerremans, 1899",Agrilus brasiliensis,f2446b82-a794-4609-8d2f-dba28b4afc19
拉丁名,"Obenberger, 1923",Agrilus aedil,8a5e0417-0768-4eee-bbfb-3497ca71dbc4
拉丁名,"Kerremans, 1911",Agrilus breyeri,8a5e0417-0768-4eee-bbfb-3497ca71dbc4
拉丁名,"Deyrolle, 1864",Agrilus incertus,36410bfe-fbaa-4afb-ac04-ac3a3e114b61
拉丁名,"Banks, 1920",Kalotermes hubbardi,e0fac1eb-e948-4b7b-b4cc-2e95bd7c40c3
拉丁名,"Obenberger, 1931",Agrilus cupreotinctus,2aa8d164-0525-4435-ac13-ae455a37b3fe
拉丁名,"Reitter, 1897",Agrilus albifrons,5199e00b-ae73-4b8f-8612-1952ef699817
拉丁名,"Obenberger, 1931",Agrilus chalax,b0486262-8516-4ee7-bffd-ff902b4bee22
拉丁名,"Obenberger, 1931",Agrilus gobbo,b0486262-8516-4ee7-bffd-ff902b4bee22
拉丁名,"Obenberger, 1959",Agrilus cairnsensis,6970ddc5-8ef7-4d5c-bed8-14ec1f070ffe
拉丁名,"Obenberger, 1924",Agrilus eupoetus,6970ddc5-8ef7-4d5c-bed8-14ec1f070ffe
拉丁名,"Obenberger, 1924",Agrilus fisheri,0bd97677-6f84-463a-a0cd-3a05274d67e2
拉丁名,"Gory & Laporte, 1837",Agrilus flavolineatus,0bd97677-6f84-463a-a0cd-3a05274d67e2
拉丁名,"Gory, 1841",Agrilus insanus,82a9180f-8364-4cb9-ba23-7d213e3a38e4
拉丁名,"Kerremans, 1894",Agrilus fugax,0c69013c-2eea-460c-b455-5d0ed58827ae
拉丁名,"Théry, 1942",Agrilus enisus,9d12b2b2-0b3b-4762-ab9f-610c12649cb3
拉丁名,"Obenberger, 1935",Agrilus kiangsuanus,9d12b2b2-0b3b-4762-ab9f-610c12649cb3
拉丁名,"Obenberger, 1936",Agrilus vodaki,9d12b2b2-0b3b-4762-ab9f-610c12649cb3
拉丁名,"Obenberger, 1935",Agrilus doddsi,a8517461-9773-4cdd-950c-858e039a91b5
拉丁名,"Dugès, 1891",Agrilus fossulatus,a396fdb7-f92e-49fe-ad9d-f4ac9c0d394e
拉丁名,"Waterhouse, 1889",Agrilus aureoviridis,237081b6-c335-41eb-ae4b-201820f8039c
拉丁名,"Kerremans, 1900",Agrilus clarus,237081b6-c335-41eb-ae4b-201820f8039c
拉丁名,"Obenberger, 1924",Agrilus fidjiensis,aeb55062-6d5f-4adc-a4c7-c8472e4d0e11
拉丁名,"Abeille de Perrin, 1897",Agrilus acuticornis,3c4d2d45-5e91-4fa8-a5f2-d6e17af0ba4f
拉丁名,"Gory & Laporte, 1837",Agrilus amabilis,3c4d2d45-5e91-4fa8-a5f2-d6e17af0ba4f
拉丁名,"(Rossi, 1792)",Agrilus caeruleus,3c4d2d45-5e91-4fa8-a5f2-d6e17af0ba4f
拉丁名,"Fisher, 1925",Agrilus cockerelli,3c4d2d45-5e91-4fa8-a5f2-d6e17af0ba4f
