guid,scientific_name,scientific_name_with_authors,authorship,chinese_name,english_name,abbreviation,classification,parent_genus,taxonomic_level,sources,confirmation_status,reviewer,review_time,original_risk_code,is_species,author,created_time,editor,modified_time,temp_created_time
9d803492-964f-4180-8f2a-ce33180c7e4a,Melica,Melica Linn.,Linn.,臭草属,,,杂草,Gramineae,属,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
c9533bc5-bff9-47fd-9033-c8a1c2bce128,Anoplodera rufipes,Anoplodera rufipes (Schaller),(Schaller),(缘花天牛属),,,昆虫,Anoplodera,种,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
b698e39d-d096-498c-9f19-cbe8063f021c,Dirioxa,"Dirioxa Hendel, 1928","Hendel, 1928",(实蝇),,,昆虫,Tephritidae,属,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
75234f59-988b-4b64-9bd8-cbe8ddc584d6,Lactuca,Lactuca L.,L.,莴苣属,lettuce,,杂草,Asteraceae,属,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
611fc99b-1f6c-4467-a444-cc0cf8c017f8,Ecumenicus,Ecumenicus spp.,spp.,外矛线虫属,,,线虫,Qudsianematidae,属,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
99217450-7b50-49ca-a6b5-cc0ed627a220,Asphondylia baca,Asphondylia baca Monzen,Monzen,野葡萄瘿蚊,,,昆虫,Asphondylia,种,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
afddf667-21ca-4a49-9914-bc71f568d156,Crassulaceae,Crassulaceae,,景天科,,,杂草,Rosales,科,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
fbc90586-e7fa-4b9a-bc8d-bfdf107314c6,Pericallia matronula,"Pericallia matronula Linnaeus, 1758","Linnaeus, 1758",斑灯蛾,,,昆虫,Pericallia,种,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
2c184e35-91f4-4545-99f8-bc5972d9742b,Vespidae,Vespidae,,胡蜂科,wasps,,昆虫,Hymenoptera,科,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
398e01bb-fd4c-4a8a-a9ac-b3084d481559,Agrimonia gryposepala,Agrimonia gryposepala Wallr.,Wallr.,弯萼龙牙草,,,杂草,Agrimonia,种,,已确认,admin,1900-01-01,,True,LiangYibing,2001-01-01,,2001-01-01,2022-10-04 20:32:07.130
