other_name_type,named_year,other_name,species_guid
拉丁名,(Curzi) C. C. Tu & Kimbr. [teleomorph],Athelia rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,(Curzi) Venkatar. 1950,Botryobasidium rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,(Saccardo) Venkat.,Botryobasidium rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,collar rot,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,collar rot of tomato,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,,Corticium centrifugum,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,(Lev.) Bresad.,Corticium centrifugum,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,（Sacc.）Curzi,Corticium rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,Curzi 1932,Corticium rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,cotton stem & root rot,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,crown rot (bean),6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,damping-off,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,(Lév.) G.C. Adams & Kropp 1996,Fibularhizoctonia centrifuga,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,groundnut stem rot,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,(Lev.) Tul.,Hypochnus centrifugus,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,(Weinm.) Lév. 1861,Hypochnus centrifugus,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,leaf spot or neck rot of yams,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,(Curzi) E. West [teleomorph],Pellicularia rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,(Curzi) E. West 1947,Pellicularia rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,Lév. 1843,Rhizoctonia centrifuga,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,root and stem wilt of groundnut,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,"root rot of beans, citrus",6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,"sclerotium blight (alfalfa, soyabean)",6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,Sacc（无性世代）,Sclerotium rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,Sacc. [teleomorph],Sclerotium rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,Sacc. 1911,Sclerotium rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,Saccardo,Sclerotium rolfsii var. rolfsii,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,"seedling blight (sweet potato, rice)",6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,"southern blight (groundnut, alfalfa, soyabean)",6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,southern root rot (sugarbeet),6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,"southern sclerotial rot (sorghum, sugarbeet)",6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,"southern stem rot (groundnut, bean, soyabean)",6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,southern wilt (bean),6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,"white mould (groundnut, soyabean)",6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,white rot or bulb rot of onions,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
英文名,,wilt and fruit rot,6fc59a9e-a026-48af-8db8-4ae1f4207aa2
拉丁名,,Euphorbia dentata var. gracillima,1cff49ae-dd55-4a02-8546-50fee3cced04
拉丁名,,Euphorbia dentata var. lancifolia,1cff49ae-dd55-4a02-8546-50fee3cced04
拉丁名,F. L. Stevens,Ascochyta chrysanthemi,e0acc296-70cd-4a76-8279-45fa5eef0e77
拉丁名,F. Stevens,Ascochyta chrysanthemi,e0acc296-70cd-4a76-8279-45fa5eef0e77
拉丁名,Stev,Ascochyta chrysanthemi,e0acc296-70cd-4a76-8279-45fa5eef0e77
拉丁名,"(Tassi) Garib. & Gullino, 1971",Didymella chrysanthemi,e0acc296-70cd-4a76-8279-45fa5eef0e77
拉丁名,"(K.F. Baker, Dimock & L.H. Davis) Arx 1962",Didymella ligulicola,e0acc296-70cd-4a76-8279-45fa5eef0e77
